"","CNT_WGT_MO","MONTH","CNT_VAL_MO","PORT_NAME","PORT","time"
"2","2000187","01","2368314","PORTLAND, ME","0101","2013-01"
"3","0","01","0","BANGOR, ME","0102","2013-01"
"4","11605000","01","5007964","EASTPORT, ME","0103","2013-01"
"5","0","01","0","JACKMAN, ME","0104","2013-01"
"6","0","01","0","VANCEBORO, ME","0105","2013-01"
"7","0","01","0","HOULTON, ME","0106","2013-01"
"8","0","01","0","FORT FAIRFIELD, ME","0107","2013-01"
"9","0","01","0","VAN BUREN, ME","0108","2013-01"
"10","0","01","0","MADAWASKA, ME","0109","2013-01"
"11","0","01","0","FORT KENT, ME","0110","2013-01"
"12","0","01","0","SYRACUSE, NY","0906","2013-01"
"13","13000","01","34775","ROCHESTER, NY","0903","2013-01"
"14","0","01","0","OSWEGO, NY","0904","2013-01"
"15","0","01","0","SODUS POINT, NY","0905","2013-01"
"16","0","01","0","UTICA, NY","0907","2013-01"
"17","592639197","01","2232716740","NEW YORK, NY","1001","2013-01"
"18","119","01","2751","ALBANY, NY","1002","2013-01"
"19","134495872","01","484588525","NEWARK, NJ","1003","2013-01"
"20","326777","01","2320197","PERTH AMBOY, NJ","1004","2013-01"
"21","0","01","0","JFK INTERNATIONAL AIRPORT, NY","1012","2013-01"
"22","0","01","0","MORRISTOWN AIRPORT, NEWARK, NJ","1081","2013-01"
"23","19257915","01","78636563","PHILADELPHIA, PA","1101","2013-01"
"24","33059939","01","154471727","CHESTER, PA","1102","2013-01"
"25","13646635","01","17795882","WILMINGTON, DE","1103","2013-01"
"26","0","01","0","PITTSBURGH, PA","1104","2013-01"
"27","0","01","0","PAULSBORO, NJ","1105","2013-01"
"28","0","01","0","WILKES-BARRE/SCRANTON, PA","1106","2013-01"
"29","19145","01","85853","CAMDEN, NJ","1107","2013-01"
"30","0","01","0","PHILADELPHIA INTERNATIONAL AIRPORT, PA","1108","2013-01"
"31","0","01","0","HARRISBURG, PA","1109","2013-01"
"32","249921","01","580875","GLOUCESTER CITY, NJ","1113","2013-01"
"33","0","01","0","ALLENTOWN, PA","1119","2013-01"
"34","0","01","0","ALLENTOWN-BETHLEHEM, PA","1181","2013-01"
"35","0","01","0","ATLANTIC CITY USER FEE AIRPORT, NJ","1182","2013-01"
"36","0","01","0","TRENTON-MERCER COUNTY USER FEE AIRPORT, NJ","1183","2013-01"
"37","9595","01","140798","ANNAPOLIS, MD","1301","2013-01"
"38","0","01","0","CAMBRIDGE, MD","1302","2013-01"
"39","118526036","01","391472355","BALTIMORE, MD","1303","2013-01"
"40","0","01","0","BALTIMORE-WASHINGTON INTERNATIONAL AIRPORT, MD","1305","2013-01"
"41","540915131","01","1399038763","NORFOLK-NEWPORT NEWS, VA","1401","2013-01"
"42","82141","01","1513887","RICHMOND-PETERSBURG, VA","1404","2013-01"
"43","0","01","0","HOPEWELL, VA","1408","2013-01"
"44","0","01","0","CHARLESTON, WV","1409","2013-01"
"45","0","01","0","FRONT ROYAL, VA","1410","2013-01"
"46","74095569","01","181675875","WILMINGTON, NC","1501","2013-01"
"47","0","01","0","WINSTON-SALEM, NC","1502","2013-01"
"48","0","01","0","DURHAM, NC","1503","2013-01"
"49","0","01","0","BEAUFORT-MOREHEAD CITY, NC","1511","2013-01"
"50","0","01","0","CHARLOTTE, NC","1512","2013-01"
"51","369210085","01","1028587936","CHARLESTON, SC","1601","2013-01"
"52","0","01","0","GREENVILLE-SPARTANSBURG, SC","1603","2013-01"
"53","0","01","0","ATLANTA, GA","1704","2013-01"
"54","0","01","0","COLUMBIA, SC","1604","2013-01"
"55","9113628","01","20764589","BRUNSWICK, GA","1701","2013-01"
"56","847824819","01","1483061510","SAVANNAH, GA","1703","2013-01"
"57","2877252","01","7060778","TAMPA, FL","1801","2013-01"
"58","103525415","01","301938813","JACKSONVILLE, FL","1803","2013-01"
"59","1462520","01","4178608","FERNANDINA, FL","1805","2013-01"
"60","0","01","0","ORLANDO, FL","1808","2013-01"
"61","0","01","0","ORLANDO-SANFORD AIRPORT, FL","1809","2013-01"
"62","0","01","0","ST. PETERSBURG, FL","1814","2013-01"
"63","0","01","0","PORT CANAVERAL, FL","1816","2013-01"
"64","8755145","01","23439633","PANAMA CITY, FL","1818","2013-01"
"65","0","01","0","PENSACOLA, FL","1819","2013-01"
"66","111630","01","247770","PORT MANATEE, FL","1821","2013-01"
"67","0","01","0","FORT MYERS AIRPORT, FL","1822","2013-01"
"68","0","01","0","NAPLES MUNICIPAL USER FEE AIRPORT, NAPLES, FL","1880","2013-01"
"69","0","01","0","SARASOTA-BRADENTON AIRPORT, FL","1883","2013-01"
"70","0","01","0","DAYTONA BEACH INTERNATIONAL AIRPORT, FL","1884","2013-01"
"71","0","01","0","MELBOURNE REGIONAL AIRPORT, FL","1885","2013-01"
"72","0","01","0","OCALA REGIONAL AIRPORT, FL","1886","2013-01"
"73","0","01","0","ORLANDO EXECUTIVE AIRPORT, FL","1888","2013-01"
"74","96011258","01","106554259","MOBILE, AL","1901","2013-01"
"75","39628602","01","45380332","GULFPORT, MS","1902","2013-01"
"76","559651","01","251843","PASCAGOULA, MS","1903","2013-01"
"77","0","01","0","HUNTSVILLE, AL","1910","2013-01"
"78","157","01","2887","MORGAN CITY, LA","2001","2013-01"
"79","243064615","01","330459612","NEW ORLEANS, LA","2002","2013-01"
"80","0","01","0","LITTLE ROCK, AR","2003","2013-01"
"81","0","01","0","BATON ROUGE, LA","2004","2013-01"
"82","0","01","0","MEMPHIS, TN","2006","2013-01"
"83","0","01","0","NASHVILLE, TN","2007","2013-01"
"84","0","01","0","CHATTANOOGA, TN","2008","2013-01"
"85","0","01","0","DESTREHAN, LA","2009","2013-01"
"86","1444088","01","2325247","GRAMERCY, LA","2010","2013-01"
"87","0","01","0","GREENVILLE, MS","2011","2013-01"
"88","0","01","0","AVONDALE, LA","2012","2013-01"
"89","0","01","0","TRI-CITY AIRPORT, BLOUNTVILLE, TN","2027","2013-01"
"90","0","01","0","KNOXVILLE, TN","2016","2013-01"
"91","588118","01","1008387","LAKE CHARLES, LA","2017","2013-01"
"92","0","01","0","SHREVEPORT-BOSSIER CITY, LA","2018","2013-01"
"93","15810484","01","6328970","PORT ARTHUR, TX","2101","2013-01"
"94","7668918","01","9836997","BEAUMONT, TX","2104","2013-01"
"95","474268","01","168382","BROWNSVILLE, TX","2301","2013-01"
"96","0","01","0","DEL RIO, TX","2302","2013-01"
"97","0","01","0","EAGLE PASS, TX","2303","2013-01"
"98","0","01","0","LAREDO, TX","2304","2013-01"
"99","0","01","0","HILDAGO, TX","2305","2013-01"
"100","0","01","0","RIO GRANDE CITY, TX","2307","2013-01"
"101","0","01","0","PROGRESO, TX","2309","2013-01"
"102","0","01","0","ROMA, TX","2310","2013-01"
"103","0","01","0","VALLEY INTERNATIONAL AIRPORT, HARLINGEN, TX","2383","2013-01"
"104","0","01","0","EL PASO, TX","2402","2013-01"
"105","0","01","0","PRESIDIO, TX","2403","2013-01"
"106","0","01","0","FABENS, TX","2404","2013-01"
"107","0","01","0","COLUMBUS, NM","2406","2013-01"
"108","0","01","0","ALBUQUERQUE, NM","2407","2013-01"
"109","0","01","0","SANTA TERESA, NM","2408","2013-01"
"110","0","01","0","SANTA TERESA AIRPORT, NM","2481","2013-01"
"111","854985","01","2517770","SAN DIEGO, CA","2501","2013-01"
"112","0","01","0","ANDRADE, CA","2502","2013-01"
"113","0","01","0","CALEXICO, CA","2503","2013-01"
"114","0","01","0","SAN YSIDRO, CA","2504","2013-01"
"115","0","01","0","TECATE, CA","2505","2013-01"
"116","0","01","0","OTAY MESA, CA","2506","2013-01"
"117","0","01","0","CALEXICO-EAST, CA","2507","2013-01"
"118","0","01","0","DOUGLAS, AZ","2601","2013-01"
"119","0","01","0","LUKEVILLE, AZ","2602","2013-01"
"120","0","01","0","NACO, AZ","2603","2013-01"
"121","0","01","0","NOGALES, AZ","2604","2013-01"
"122","0","01","0","PHOENIX, AZ","2605","2013-01"
"123","0","01","0","SASABE, AZ","2606","2013-01"
"124","0","01","0","SAN LUIS, AZ","2608","2013-01"
"125","0","01","0","TUCSON, AZ","2609","2013-01"
"126","999142654","01","2388842987","LOS ANGELES, CA","2704","2013-01"
"127","0","01","0","LOS ANGELES INTERNATIONAL AIRPORT, CA","2720","2013-01"
"128","917254601","01","2130038532","LONG BEACH, CA","2709","2013-01"
"129","1868539","01","402554","EL SEGUNDO, CA","2711","2013-01"
"130","2340363","01","5164535","PORT HUENEME, CA","2713","2013-01"
"131","0","01","0","ONTARIO INTERNATIONAL AIRPORT, CA","2721","2013-01"
"132","0","01","0","LAS VEGAS, NV","2722","2013-01"
"133","0","01","0",NA,"2781","2013-01"
"134","0","01","0","SAN FRANCISCO INTERNATIONAL AIRPORT, CA","2801","2013-01"
"135","0","01","0","EUREKA, CA","2802","2013-01"
"136","0","01","0","FRESNO, CA","2803","2013-01"
"137","7335","01","63825","MONTEREY, CA","2805","2013-01"
"138","1198345","01","2409616","SAN FRANCISCO, CA","2809","2013-01"
"139","0","01","0","STOCKTON, CA","2810","2013-01"
"140","524474076","01","1109301878","OAKLAND, CA","2811","2013-01"
"141","0","01","0","RICHMOND, CA","2812","2013-01"
"142","0","01","0","MARTINEZ, CA","2820","2013-01"
"143","5853316","01","6317082","SAN PABLO BAY, CA","2829","2013-01"
"144","0","01","0","CARQUINEZ STRAIT, CA","2830","2013-01"
"145","0","01","0","RENO, NV","2833","2013-01"
"146","0","01","0","SAN JOSE INTERNATIONAL AIRPORT, CA","2834","2013-01"
"147","0","01","0","SACRAMENTO INTERNATIONAL AIRPORT, CA","2835","2013-01"
"148","2898","01","90557","ASTORIA, OR","2901","2013-01"
"149","623592","01","1798800","NEWPORT, OR","2902","2013-01"
"150","45458","01","25054","COOS BAY, OR","2903","2013-01"
"151","49867390","01","57526588","PORTLAND, OR","2904","2013-01"
"152","1936","01","20181","LONGVIEW, WA","2905","2013-01"
"153","0","01","0","BOISE, ID","2907","2013-01"
"154","54336933","01","23830898","VANCOUVER, WA","2908","2013-01"
"155","18144","01","96000","KALAMA, WA","2909","2013-01"
"156","0","01","0","PORTLAND INTERNATIONAL AIRPORT, WA","2910","2013-01"
"157","359898296","01","374768453","SEATTLE, WA","3001","2013-01"
"158","448248334","01","645056551","TACOMA, WA","3002","2013-01"
"159","6222","01","29605","ABERDEEN-HOQUIAM, WA","3003","2013-01"
"160","538284","01","3546820","BLAINE, WA","3004","2013-01"
"161","52470","01","134920","BELLINGHAM, WA","3005","2013-01"
"162","18771","01","288452","EVERETT, WA","3006","2013-01"
"163","0","01","0","PORT ANGELES, WA","3007","2013-01"
"164","0","01","0","PORT TOWNSEND, WA","3008","2013-01"
"165","0","01","0","SUMAS, WA","3009","2013-01"
"166","70125","01","74683","ANACORTES, WA","3010","2013-01"
"167","0","01","0","NIGHTHAWK, WA","3011","2013-01"
"168","0","01","0","DANVILLE, WA","3012","2013-01"
"169","0","01","0","FERRY, WA","3013","2013-01"
"170","0","01","0","FRIDAY HARBOR, WA","3014","2013-01"
"171","0","01","0","BOUNDARY, WA","3015","2013-01"
"172","0","01","0","FRONTIER, WA","3020","2013-01"
"173","0","01","0","LAURIER, WA","3016","2013-01"
"174","0","01","0","POINT ROBERTS, WA","3017","2013-01"
"175","0","01","0","OROVILLE, WA","3019","2013-01"
"176","0","01","0","SPOKANE, WA","3022","2013-01"
"177","0","01","0","LYNDEN, WA","3023","2013-01"
"178","0","01","0","METALINE FALLS, WA","3025","2013-01"
"179","0","01","0","OLYMPIA, WA","3026","2013-01"
"180","0","01","0","SEATTLE-TACOMA INTERNATIONAL AIRPORT, WA","3029","2013-01"
"181","0","01","0","YAKIMA AIR TERMINAL, WA","3081","2013-01"
"182","0","01","0","JUNEAU, AK","3101","2013-01"
"183","0","01","0","KETCHIKAN, AK","3102","2013-01"
"184","0","01","0","SKAGWAY, AK","3103","2013-01"
"185","0","01","0","ALCAN, AK","3104","2013-01"
"186","666446","01","1289984","WRANGELL, AK","3105","2013-01"
"187","0","01","0","DALTON CACHE, AK","3106","2013-01"
"188","0","01","0","FAIRBANKS, AK","3111","2013-01"
"189","0","01","0","PETERSBURG, AK","3112","2013-01"
"190","0","01","0","SITKA, AK","3115","2013-01"
"191","314030","01","680759","ANCHORAGE, AK","3126","2013-01"
"192","12513513","01","8690704","HONOLULU, HI","3201","2013-01"
"193","224674","01","80160","HILO, HI","3202","2013-01"
"194","121739","01","981652","KAHULUI, HI","3203","2013-01"
"195","97527","01","27128","NAWILIWILI-PORT ALLEN, HI","3204","2013-01"
"196","0","01","0","HONOLULU INTERNATIONAL AIRPORT, HI","3205","2013-01"
"197","1183145","01","744701","KONA, HI","3206","2013-01"
