"","Date","gscpi"
"1","30-Sep-1997",-0.42
"2","31-Oct-1997",-0.29
"3","30-Nov-1997",-0.62
"4","31-Dec-1997",-0.92
"5","31-Jan-1998",-1.05
"6","28-Feb-1998",-0.41
"7","31-Mar-1998",-0.04
"8","30-Apr-1998",-0.1
"9","31-May-1998",-0.4
"10","30-Jun-1998",-0.72
"11","31-Jul-1998",-0.89
"12","31-Aug-1998",-0.87
"13","30-Sep-1998",-0.87
"14","31-Oct-1998",-0.65
"15","30-Nov-1998",-0.81
"16","31-Dec-1998",-0.54
"17","31-Jan-1999",-0.21
"18","28-Feb-1999",0.04
"19","31-Mar-1999",-0.25
"20","30-Apr-1999",-0.19
"21","31-May-1999",-0.33
"22","30-Jun-1999",-0.34
"23","31-Jul-1999",-0.59
"24","31-Aug-1999",-0.42
"25","30-Sep-1999",-0.37
"26","31-Oct-1999",-0.11
"27","30-Nov-1999",-0.16
"28","31-Dec-1999",-0.18
"29","31-Jan-2000",-0.59
"30","29-Feb-2000",-0.4
"31","31-Mar-2000",-0.27
"32","30-Apr-2000",0.15
"33","31-May-2000",0.29
"34","30-Jun-2000",0.06
"35","31-Jul-2000",0
"36","31-Aug-2000",0.1
"37","30-Sep-2000",0.06
"38","31-Oct-2000",-0.49
"39","30-Nov-2000",-0.71
"40","31-Dec-2000",-0.9
"41","31-Jan-2001",-0.88
"42","28-Feb-2001",-0.74
"43","31-Mar-2001",-0.57
"44","30-Apr-2001",-0.98
"45","31-May-2001",-1.08
"46","30-Jun-2001",-0.67
"47","31-Jul-2001",-0.8
"48","31-Aug-2001",-0.75
"49","30-Sep-2001",-0.65
"50","31-Oct-2001",-1.19
"51","30-Nov-2001",-1.39
"52","31-Dec-2001",-1.12
"53","31-Jan-2002",-0.88
"54","28-Feb-2002",-0.44
"55","31-Mar-2002",-0.42
"56","30-Apr-2002",-0.56
"57","31-May-2002",-0.28
"58","30-Jun-2002",-0.6
"59","31-Jul-2002",-0.92
"60","31-Aug-2002",-1.06
"61","30-Sep-2002",-1.11
"62","31-Oct-2002",-1.21
"63","30-Nov-2002",-0.7
"64","31-Dec-2002",-0.65
"65","31-Jan-2003",-0.59
"66","28-Feb-2003",-0.28
"67","31-Mar-2003",-0.3
"68","30-Apr-2003",-0.52
