"","CNT_WGT_MO","MONTH","CNT_VAL_MO","PORT_NAME","PORT","time"
"2","0","01","0","FORT PIERCE, FL","5205","2013-01"
"3","214965250","01","932137796","MIAMI, FL","5201","2013-01"
"4","233406098","01","560848263","PORT EVERGLADES, FL","5203","2013-01"
"5","11215813","01","25550386","WEST PALM BEACH, FL","5204","2013-01"
"6","0","01","0","MIAMI INTERNATIONAL AIRPORT, FL","5206","2013-01"
"7","0","01","0","FT. LAUDERDALE INTERNATIONAL AIRPORT, FL","5210","2013-01"
"8","661265228","01","1920619095","HOUSTON, TX","5301","2013-01"
"9","19950","01","82445","TEXAS CITY, TX","5306","2013-01"
"10","0","01","0","HOUSTON INTERCONTINENTAL AIRPORT, TX","5309","2013-01"
"11","17238871","01","42843573","GALVESTON, TX","5310","2013-01"
"12","28252083","01","14598927","FREEPORT, TX","5311","2013-01"
"13","35216759","01","257928759","CORPUS CHRISTI, TX","5312","2013-01"
"14","49102580","01","47119930","PORT LAVACA, TX","5313","2013-01"
"15","41048","01","170668","WASHINGTON, DC","5401","2013-01"
"16","0","01","0","ALEXANDRIA, VA","5402","2013-01"
"17","0","01","0","DALLAS-FORT WORTH, TX","5501","2013-01"
"18","0","01","0","AMARILLO, TX","5502","2013-01"
"19","0","01","0","LUBBOCK, TX","5503","2013-01"
"20","0","01","0","OKLAHOMA CITY, OK","5504","2013-01"
"21","0","01","0","TULSA, OK","5505","2013-01"
"22","0","01","0","AUSTIN, TX","5506","2013-01"
"23","0","01","0","SAN ANTONIO, TX","5507","2013-01"
"24","0","01","0","FORT WORTH ALLIANCE AIRPORT, TX","5583","2013-01"
"25","0","01","0","VESSELS UNDER OWN POWER","6000","2013-01"
"26","0","01","0","LOW VALUE","7070","2013-01"
"27","0","01","0","JACKMAN, ME","0104","2013-01"
"28","4980324","01","1492461","PORTLAND, ME","0101","2013-01"
"29","0","01","0","BANGOR, ME","0102","2013-01"
"30","21000","01","13683","EASTPORT, ME","0103","2013-01"
"31","0","01","0","VANCEBORO, ME","0105","2013-01"
"32","0","01","0","HOULTON, ME","0106","2013-01"
"33","0","01","0","FORT FAIRFIELD, ME","0107","2013-01"
"34","0","01","0","VAN BUREN, ME","0108","2013-01"
"35","0","01","0","MADAWASKA, ME","0109","2013-01"
"36","0","01","0","FORT KENT, ME","0110","2013-01"
"37","0","01","0","CALAIS, ME","0115","2013-01"
"38","0","01","0","BRIDGEWATER, ME","0127","2013-01"
"39","504232","01","2650424","PORTSMOUTH, NH","0131","2013-01"
"40","0","01","0","BELFAST, ME","0132","2013-01"
"41","0","01","0","SEARSPORT, ME","0152","2013-01"
"42","0","01","0","MANCHESTER USER FEE AIRPORT, NH","0182","2013-01"
"43","0","01","0","RICHFORD, VT","0203","2013-01"
"44","0","01","0","BEECHER FALLS, VT","0206","2013-01"
"45","0","01","0","BURLINGTON, VT","0207","2013-01"
"46","0","01","0","DERBY LINE, VT","0209","2013-01"
